# Program:featureCounts v2.0.1; Command:"featureCounts" "-s2" "-T" "1" "-a" "annotation/hg38.small.gtf.gz" "-o" "rnaseq_samples/featurecounts.txt" "rnaseq_samples/A549_dBet6_1h_1/A549_dBet6_1h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_dBet6_1h_2/A549_dBet6_1h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_dBet6_6h_1/A549_dBet6_6h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_dBet6_6h_2/A549_dBet6_6h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_DMSO_1h_1/A549_DMSO_1h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_DMSO_1h_2/A549_DMSO_1h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_DMSO_6h_1/A549_DMSO_6h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_DMSO_6h_2/A549_DMSO_6h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_JQ1_1h_1/A549_JQ1_1h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_JQ1_1h_2/A549_JQ1_1h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_JQ1_6h_1/A549_JQ1_6h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_dBet6_1h_1/HAP1_dBet6_1h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_dBet6_1h_2/HAP1_dBet6_1h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_dBet6_6h_1/HAP1_dBet6_6h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_dBet6_6h_2/HAP1_dBet6_6h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_DMSO_1h_1/HAP1_DMSO_1h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_DMSO_1h_2/HAP1_DMSO_1h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_DMSO_6h_1/HAP1_DMSO_6h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_DMSO_6h_2/HAP1_DMSO_6h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_JQ1_1h_1/HAP1_JQ1_1h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_JQ1_1h_2/HAP1_JQ1_1h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_JQ1_6h_1/HAP1_JQ1_6h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/HAP1_JQ1_6h_2/HAP1_JQ1_6h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/outlier_HAP1_dBet6_1h_1/outlier_HAP1_dBet6_1h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_dBet6_1h_2/K562_dBet6_1h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_dBet6_6h_1/K562_dBet6_6h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_dBet6_6h_2/K562_dBet6_6h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_DMSO_1h_1/K562_DMSO_1h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_DMSO_1h_2/K562_DMSO_1h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_DMSO_6h_1/K562_DMSO_6h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_DMSO_6h_2/K562_DMSO_6h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_JQ1_1h_1/K562_JQ1_1h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_JQ1_1h_2/K562_JQ1_1h_2.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_JQ1_6h_1/K562_JQ1_6h_1.small.single.cutadapt.sorted.bam" "rnaseq_samples/K562_JQ1_6h_2/K562_JQ1_6h_2.small.single.cutadapt.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	rnaseq_samples/A549_dBet6_1h_1/A549_dBet6_1h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_dBet6_1h_2/A549_dBet6_1h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_dBet6_6h_1/A549_dBet6_6h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_dBet6_6h_2/A549_dBet6_6h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_DMSO_1h_1/A549_DMSO_1h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_DMSO_1h_2/A549_DMSO_1h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_DMSO_6h_1/A549_DMSO_6h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_DMSO_6h_2/A549_DMSO_6h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_JQ1_1h_1/A549_JQ1_1h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_JQ1_1h_2/A549_JQ1_1h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_JQ1_6h_1/A549_JQ1_6h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_dBet6_1h_1/HAP1_dBet6_1h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_dBet6_1h_2/HAP1_dBet6_1h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_dBet6_6h_1/HAP1_dBet6_6h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_dBet6_6h_2/HAP1_dBet6_6h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_DMSO_1h_1/HAP1_DMSO_1h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_DMSO_1h_2/HAP1_DMSO_1h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_DMSO_6h_1/HAP1_DMSO_6h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_DMSO_6h_2/HAP1_DMSO_6h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_JQ1_1h_1/HAP1_JQ1_1h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_JQ1_1h_2/HAP1_JQ1_1h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_JQ1_6h_1/HAP1_JQ1_6h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/HAP1_JQ1_6h_2/HAP1_JQ1_6h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/outlier_HAP1_dBet6_1h_1/outlier_HAP1_dBet6_1h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_dBet6_1h_2/K562_dBet6_1h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_dBet6_6h_1/K562_dBet6_6h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_dBet6_6h_2/K562_dBet6_6h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_DMSO_1h_1/K562_DMSO_1h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_DMSO_1h_2/K562_DMSO_1h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_DMSO_6h_1/K562_DMSO_6h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_DMSO_6h_2/K562_DMSO_6h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_JQ1_1h_1/K562_JQ1_1h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_JQ1_1h_2/K562_JQ1_1h_2.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_JQ1_6h_1/K562_JQ1_6h_1.small.single.cutadapt.sorted.bam	rnaseq_samples/K562_JQ1_6h_2/K562_JQ1_6h_2.small.single.cutadapt.sorted.bam
ENSG00000199053.3	chr17	7223297	7223379	-	83	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004975.11	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7225341;7225455;7226137;7226421;7226421;7226421;7226656;7227090;7227090;7227090;7227149;7227238;7227404;7227404;7227404;7227404;7227404;7227655;7227655;7227655;7227655;7227655;7227655;7227863;7227977;7227977;7227977;7227977;7227977;7227977;7228007;7228600;7228762;7228969;7228969;7228969;7228969;7228969;7228969;7229135;7229135;7229135;7229135;7229135;7229135;7229135;7229153;7229287;7229378;7229378;7229378;7229378;7229378;7229378;7229544;7229588;7229588;7229588;7229588;7229588;7229808;7229808;7229808;7229808;7229808;7229808;7230046;7230046;7230046;7230046;7230058;7230058;7230123;7230285;7230285;7230285;7230285;7230285;7230285;7230285;7230285;7230728;7230728;7230728;7230728;7230728;7230728;7233936;7234069;7234069;7234069;7234069;7234069	7226313;7226313;7226313;7226639;7226639;7226639;7227269;7227269;7227269;7227269;7227535;7227269;7227535;7227535;7227535;7227535;7227535;7227783;7227783;7227783;7227783;7227827;7227711;7228044;7228044;7228384;7228044;7228044;7228044;7228042;7228044;7229045;7229045;7229045;7229035;7229045;7229045;7229045;7229045;7229274;7229274;7229267;7229274;7229274;7229274;7229391;7229274;7230155;7229447;7229475;7229447;7229447;7229447;7229406;7229678;7229678;7229678;7229678;7229678;7229678;7229943;7229943;7229943;7229943;7229943;7229943;7230155;7230155;7230137;7230155;7230155;7230155;7230155;7230430;7230391;7230430;7230430;7230430;7230430;7230430;7230797;7230797;7230797;7230797;7230797;7230797;7230779;7234061;7234517;7234318;7234308;7234223;7234545	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5350	1311	1291	1079	1109	1266	1369	1437	1375	1249	1293	915	955	2503	2413	1258	1108	2021	2708	2499	2408	2586	2365	2259	2282	1041	1077	799	924	915	897	1115	1333	1252	1120	1580	1378
ENSG00000040633.12	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7235028;7235029;7235038;7235287;7235626;7235930;7235930;7235930;7235930;7235930;7235934;7236290;7236359;7236381;7236429;7236481;7236519;7236617;7236637;7237385;7237385;7237385;7237385;7237385;7237385;7237385;7237385;7237385;7237385;7237385;7237385;7237385;7237629;7237629;7237629;7237629;7237629;7237629;7237629;7237629;7237629;7237629;7237629;7237629;7238053;7238053;7238212;7238455;7238675;7238786;7238801;7239246;7239246;7239246;7239246;7239586	7235840;7235840;7235840;7235840;7235840;7236767;7236767;7236767;7236118;7236566;7236767;7236767;7236767;7236767;7236767;7236767;7236767;7236767;7236762;7237477;7237477;7237477;7237477;7237477;7237477;7237477;7237477;7237477;7237477;7237477;7237477;7237477;7237794;7237660;7237660;7237660;7237660;7237660;7237660;7237660;7237660;7237660;7237660;7237660;7238171;7238171;7238258;7238577;7238715;7238930;7238882;7239439;7239506;7239455;7239279;7239722	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2783	1358	1475	1542	1574	1568	1476	1941	1991	1340	1366	1240	1300	899	856	444	370	819	1109	2044	2055	878	740	1308	1218	617	652	592	647	760	694	1728	2134	660	563	1273	1091
ENSG00000170296.9	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7240014;7240408;7240574;7240628;7240854;7241271;7241342;7241342;7241342;7241342;7241342;7241601;7241601;7241601;7241601;7241601;7241768;7242079;7242241;7242241;7242241	7240919;7240919;7240919;7240919;7240919;7241460;7241460;7241460;7241460;7241460;7241460;7241679;7241679;7241679;7242252;7241679;7241819;7242156;7242770;7242358;7242447	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2266	235	184	206	178	214	208	199	224	177	214	187	193	158	185	197	212	151	177	219	170	181	167	175	148	113	97	197	176	112	114	126	125	111	103	148	128
ENSG00000262526.2	chr17;chr17;chr17;chr17	7240427;7241342;7241601;7244551	7240919;7241460;7241679;7244635	-;-;-;-	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279641.1	chr17	7242200	7243814	+	1615	3	3	2	3	2	1	4	3	1	3	2	6	0	2	1	2	2	1	1	2	2	5	0	0	0	3	1	1	2	0	1	1	0	1	1	0
ENSG00000175826.11	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7243591;7243591;7243618;7243650;7243839;7244039;7244102;7244141;7244189;7244232;7244551;7244551;7244551;7244551;7244551;7244551;7244551;7244551;7244555;7246026;7246026;7246026;7246026;7246026;7246026;7246026;7246026;7246034;7246254;7246254;7246254;7246254;7246254;7246254;7246254;7246254;7246254;7246254;7246356;7246791;7246791;7246791;7246791;7246791;7246791;7246791;7246791;7246791;7247064;7247064;7247064;7247064;7247064;7247064;7247064;7247064;7247064;7247064;7247277;7247277;7247277;7247277;7247277;7247277;7247277;7247277;7247277;7247277;7251195;7251195;7251195;7251195;7251195;7251195;7251195;7251195;7251799;7251965;7251965;7252414;7252414	7243951;7244245;7244245;7243951;7244245;7244245;7244245;7244245;7244245;7244245;7244635;7244635;7244838;7244635;7244635;7244635;7244635;7244635;7244635;7246137;7246137;7246137;7246137;7246137;7246137;7246137;7246137;7246137;7246678;7246370;7246370;7246370;7246370;7246370;7246370;7246370;7246370;7246370;7246370;7246862;7246862;7246862;7246862;7246862;7246862;7246862;7246862;7246862;7247182;7247182;7247182;7247182;7247182;7247182;7247182;7247177;7247182;7247182;7247343;7247343;7247343;7247343;7247343;7247343;7247343;7247343;7247339;7247343;7251330;7251286;7251675;7251412;7251601;7251601;7251682;7251601;7251961;7252081;7252054;7252474;7252491	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2584	2431	2221	2385	2312	2245	2404	2225	2226	2366	2441	1574	1660	2199	2061	1352	1263	1687	2376	2487	2423	2212	2121	1946	1825	1551	1481	1220	1240	1392	1282	1766	1996	1844	1574	1519	1253
ENSG00000262302.1	chr17;chr17;chr17;chr17	7246829;7247064;7247277;7261821	7246862;7247182;7247343;7262089	-;-;-;-	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170291.14	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7251416;7252024;7252053;7252056;7252201;7252232;7252237;7252286;7252286;7252376;7252426;7252426;7252426;7252426;7252426;7252426;7252426;7252525;7252555;7252623;7252769;7252770;7252770;7252770;7252770;7252770;7252770;7252770;7252770;7252770;7252770;7252770;7252770;7252918;7252918;7252918;7252918;7252918;7252918;7252918;7252918;7252918;7252918;7252918;7252918;7252918;7252918;7254583;7254583;7254583;7254583;7254583;7254583;7254583;7254583;7254583;7254583;7254583;7254583;7254583;7254583;7254583;7256857;7256857;7256857;7256857;7256857;7256857;7256857;7256857;7256857;7256857;7258588;7258588;7258588;7258588;7258588;7258588;7258588;7258588;7258588;7258588;7258826;7258826;7258826;7258826;7259571;7259571;7259571;7259571	7251573;7252082;7252082;7252082;7252337;7252337;7252345;7252596;7252596;7252596;7252596;7252596;7252596;7252596;7252596;7252596;7252596;7252596;7252596;7252830;7252830;7252830;7252830;7252830;7252830;7252830;7252830;7252830;7252830;7252830;7252830;7252830;7252830;7252998;7252998;7252998;7252998;7252998;7252998;7252998;7252998;7252998;7252998;7252998;7252998;7252998;7252998;7254803;7254803;7254633;7254766;7254803;7254803;7254803;7254906;7254803;7254803;7254803;7254913;7254803;7254803;7254803;7257038;7257038;7257038;7257038;7257028;7257038;7257038;7257038;7257038;7257038;7258683;7258639;7258968;7258683;7259940;7258683;7258683;7259931;7258683;7258782;7259079;7258926;7258926;7258926;7259931;7259940;7259940;7259940	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2768	1039	1029	1053	967	1055	985	1081	964	942	1005	969	975	2010	2022	1943	1788	1656	2356	2429	2360	2284	2103	2189	2146	991	1011	726	894	932	900	1143	1430	1246	1082	1285	1107
ENSG00000181885.18	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7259903;7259904;7260137;7260462;7260489;7260642;7260642;7260642;7260642;7260654;7260821;7260821;7260821;7260821;7260821;7260821;7260821;7261821;7261821;7261821;7261821;7261821;7261847;7262067;7262611;7263159;7263159;7263929	7260536;7260536;7260536;7260536;7260536;7260726;7260726;7260726;7260726;7260726;7261145;7260985;7260985;7260985;7260985;7260985;7260985;7262945;7262343;7262085;7262478;7262343;7262343;7262343;7263204;7263200;7263213;7263983	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2492	0	0	0	0	3	0	0	0	0	1	1	1	15	17	18	9	11	10	12	5	9	9	2	4	52	63	62	61	58	41	31	17	66	64	15	16
ENSG00000202251.1	chr17	7266055	7266166	-	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181856.14	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7281667;7281735;7281736;7281808;7282130;7283245;7283245;7283245;7283245;7283245;7283473;7283473;7283473;7283473;7283473;7283738;7283738;7283738;7283738;7283738;7283974;7283974;7283974;7283974;7284217;7284217;7284217;7284217;7284217;7284485;7284485;7284485;7284485;7284485;7284835;7284835;7284835;7284835;7284835;7285088;7285088;7285088;7285088;7285088;7285705;7285705;7285705;7285705;7285705;7286426;7286426;7286426	7281967;7281967;7281967;7281967;7282429;7283361;7283361;7283361;7283361;7283361;7283645;7283645;7283645;7283645;7283645;7283862;7283862;7283862;7283862;7283862;7284089;7284089;7284089;7284089;7284379;7284379;7284379;7284379;7284379;7284672;7284672;7284672;7284672;7284672;7284939;7285000;7284939;7284939;7284939;7285189;7285189;7285189;7285189;7285189;7286167;7285908;7285908;7286151;7285908;7288257;7287833;7286901	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4046	2	4	5	2	1	3	6	4	1	1	13	14	67	58	32	17	57	76	49	49	75	88	80	106	25	17	6	6	20	29	8	12	40	23	16	10
ENSG00000263342.1	chr17;chr17	7282947;7284027	7283316;7284071	-;-	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006047.12	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7288252;7288263;7288263;7288369;7288749;7288749;7288749;7288749;7289530;7289530;7289530;7289530;7289537;7289968;7289968;7289968;7289968;7289968;7290251;7290251;7290251;7290251;7290251;7290367;7291093;7291093;7291093;7291093;7291532;7292026;7292026;7293075;7293475;7293475;7293475;7293828;7294230;7294230;7294568	7288643;7288643;7288643;7288476;7288838;7288838;7288838;7288838;7289725;7289725;7289725;7289725;7289725;7290071;7290071;7290071;7290071;7290071;7290535;7290392;7290535;7290563;7290535;7290535;7294589;7291182;7292059;7291182;7291779;7292059;7292059;7293538;7293538;7293538;7293538;7293935;7294564;7294556;7294615	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4618	1	2	1	2	4	5	2	1	0	5	1	4	86	78	69	65	74	106	94	101	77	142	73	72	90	69	93	103	55	89	70	70	114	81	32	42
ENSG00000132507.17	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7306999;7307326;7307373;7307540;7307582;7307602;7307631;7307974;7307974;7307993;7308371;7308481;7308481;7309597;7309615;7309615;7309615;7309615;7309615;7309615;7309615;7309615;7309615;7309615;7311018;7311018;7311018;7311018;7311018;7311018;7311018;7311018;7311018;7311350;7311350;7311350;7311350;7311350;7311350;7311350;7311350;7311350;7311578;7311578;7311578;7311578;7311578;7311578;7311578;7311578;7311822;7311822;7311822;7311822;7311822;7311822;7311822;7311822	7307115;7307409;7307752;7307752;7307752;7307752;7307752;7308113;7308113;7308133;7308575;7308575;7308575;7309800;7310101;7309800;7309800;7309800;7309800;7309800;7309800;7310453;7309800;7309800;7311122;7311122;7311122;7311122;7311122;7311122;7311122;7311122;7311122;7311481;7311651;7311481;7311481;7311481;7311481;7311481;7311481;7311481;7311651;7311651;7311651;7311651;7311615;7311651;7311651;7311651;7312463;7312455;7312244;7312455;7312455;7311868;7312455;7312455	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2815	17504	17814	19998	19360	17863	17661	17672	17519	16955	17269	16529	16317	22941	22048	29528	26155	18055	24955	23868	24872	23674	22546	22060	20250	19663	21102	30236	35904	17663	16521	18646	23698	23296	20339	19255	16524
