# Program:featureCounts v2.0.1; Command:"featureCounts" "-s2" "-T" "4" "-a" "annotation/hg38.small.gtf.gz" "-o" "rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.featurecounts.txt" "rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.small.single.cutadapt.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.small.single.cutadapt.sorted.bam
ENSG00000141252.19	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	508668;517382;518953;519119;519826;519826;519826;519855;521601;521601;521601;521601;522925;531968;532318;532708;532827;532827;532842;532842;532842;536424;537028;537028;537028;537028;537028;537028;537028;551634;551872;551872;551872;551872;551872;551872;551872;553380;553380;553380;553380;553380;553380;553380;553433;560426;560426;560426;560426;560426;560426;560426;560426;562503;562503;562503;562503;562503;562503;562503;562503;586270;586270;586270;586270;586270;586270;586270;599945;600880;601795;601795;601795;601795;601795;601795;601795;601795;623533;623533;623533;623533;623533;623533;623533;627174;627174;627174;627174;627174;627174;627174;628088;628088;628088;628088;628088;628088;631550;631550;631550;631550;631550;631550;631550;632744;653291;653291;653291;653291;653291;653291;653326;655838;655838;655838;655838;655838;655838;655838;657429;661809;661809;661809;661809;661809;661809;661809;673696;674367;676180;676180;685037;697418;697418;697418;697418;697418;697418;697418;697418;697418;699331;699331;699331;699331;699331;699331;699331;699331;699331;699343;705625;710533;710533;710533;710533;710533;710533;710533;710533;710533;710533;710533;714142;714623;714623;714623;714623;714623;714623;714623;714623;714623;721591	519298;517639;519298;519298;519930;519930;519930;519930;521738;521738;521738;521738;522995;532911;532911;532911;532911;532911;532993;532911;532911;539204;537176;537176;537176;537176;537176;537176;537176;551950;551950;551950;551950;551950;551950;551950;551950;553462;553462;553462;553462;553462;553462;553462;553462;560573;560573;560573;560573;560573;560573;560573;560573;562745;562745;562745;562745;562686;562745;562745;562745;586364;586364;586364;586364;586364;586364;586364;600094;601077;601896;601896;601896;601896;601896;601896;601896;601896;623674;623674;623674;623674;623674;623674;623674;627316;627316;627316;627316;627316;627316;627316;628231;628231;628231;628231;628231;628231;631628;631628;631628;631628;631628;631628;631628;632841;653410;653410;653410;653410;653410;653410;653410;655953;655953;655953;655953;655953;655953;655953;657549;661895;661895;661895;661895;661895;661895;661895;675667;674883;676345;676407;685195;697484;697484;697484;697484;697484;697484;697484;697484;697484;699380;699380;699380;699380;699380;699380;699380;699380;699380;699380;706095;710613;710613;710613;710613;710613;710613;710613;710613;710613;710613;710613;714513;714709;714814;714856;714791;714709;714830;714843;714846;714856;721717	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	20899	1062
ENSG00000263300.1	chr17;chr17	523140;540389	523429;540576	+;+	478	0
ENSG00000262905.1	chr17;chr17	552566;553177	552916;553417	+;+	592	0
ENSG00000262708.1	chr17	616002	616595	+	594	0
ENSG00000244097.1	chr17	656794	657547	-	754	59
ENSG00000167695.14	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	732412;732412;732546;732584;732677;733098;733098;733098;733125;737846;737846;737846;740505;740505;740505;740505;741301;741301;741301;741301;741301;741664;742597	732769;733181;732769;732769;733181;733181;733181;733181;733181;738047;738047;738047;740586;740600;740600;740600;742841;742883;741365;742014;742972;742052;742884	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2740	799
ENSG00000179409.10	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	744414;744623;746631;747167;747240;747441;747545;747844;749814;749814;749814;751651;752133;752133;752133;752618;753959	748032;749351;747282;748032;748032;748032;748032;748032;749909;749909;749909;752038;752261;752174;752185;752776;753999	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5751	2001
ENSG00000231784.8	chr17;chr17;chr17;chr17;chr17;chr17	752660;752667;752884;754309;754408;754408	755336;753025;753133;754331;754888;754888	+;+;+;+;+;+	2677	6
ENSG00000167699.13	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	757097;759097;759310;759323;759330;759452;760022;760064;760073;760098;760111;760188;769869;769869;769869;769869;769869;769869;769869;769869;769869;770044;770044;770044;770044;770044;770044;770044;770044;770044;770044;770421;770421;770421;770421;770421;770421;770421;770421;770421;770429;771325;771325;771325;771325;771325;771325;771325;771325;771325;771325;771325;771451;775775;775775;775775;775775;775775;775775;775775;775775;775775;775775;775775;776868;776868;776868;776868;776868;776868;776868;776868;776868;776868;776868;776881;778302;778423;778622;778622;778622;778622;778622;778641;778695;778695;778695;778695;778695;778695;778790;780618;780684;780684;781863;781863;782166;782166;782166;782166;782166;782166;782166;782166;782166;782166;782166;782166;782166;782166;782239;782453;782559;783083	757321;760238;760238;760238;760238;760238;760238;760238;760238;760238;760161;760238;769955;769955;769955;769955;769955;769955;769955;769955;769955;770157;770157;770157;770224;771461;770157;770157;770157;770157;770157;770507;770507;770507;770507;770507;770507;770507;770507;770507;770507;771461;771461;771461;771461;771461;771461;771404;771461;771379;771461;771461;771461;775919;775919;775919;775919;775919;775919;775919;775919;775919;775919;775919;776988;776988;776988;776988;776988;776988;776988;776988;777692;776988;776988;776988;778744;778744;778744;778661;778661;778744;778744;778661;778744;778744;778744;778810;778744;778744;778810;780738;780738;780738;782043;782193;782255;782237;782280;782255;782279;782279;782291;782276;782341;782294;782255;782280;782267;782280;782451;782557;782687;783390	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5603	1251
ENSG00000262228.2	chr17;chr17;chr17	763565;763565;765016	765319;765014;765319	-;-;-	1755	1
ENSG00000171861.10	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	782273;782358;782367;782600;783083;783083;783083;787965;787965;787965;791534;791534	782692;782692;782692;782692;783327;783517;783327;788198;788132;788132;791766;792509	+;+;+;+;+;+;+;+;+;+;+;+	2065	638
ENSG00000262434.1	chr17;chr17	789744;790279	789982;790525	-;-	486	0
ENSG00000277491.1	chr17	795306	795794	+	489	0
ENSG00000167693.16	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	799313;799313;800388;800481;800768;800788;803682;803682;803682;803682;803682;803682;805068;805068;805068;805210;819114;819439;819439;819439;819439;822357;822357;822357;822357;822357;823632;823632;823632;823632;823632;823646;823687;825566;825961;825961;825961;825961;825961;825961;825961;863887;864015;896886;905153;907704;929663;929956;933345;978299;979319;979319;979319	801131;801131;801131;801131;801131;801131;803806;803806;803806;803984;803806;803806;805247;805247;805247;805248;819545;819545;819545;819545;819545;822457;822457;822457;822457;822457;823765;823765;823765;823765;823765;823765;823765;826078;826078;826078;826078;826078;826001;826078;826078;864097;864111;897014;905242;908034;930051;930431;933413;978630;979770;979462;979349	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5880	533
ENSG00000262133.1	chr17;chr17	877902;879880	878272;880093	+;+	585	0
ENSG00000262003.1	chr17;chr17	909632;910694	909932;911212	+;+	820	1
ENSG00000263017.1	chr17	959034	959366	+	333	2
ENSG00000177370.4	chr17;chr17;chr17;chr17	997117;998779;999512;1001012	997380;998975;999584;1003671	+;+;+;+	3194	680
ENSG00000159842.14	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	1003518;1003527;1003527;1005010;1005735;1005791;1005908;1006061;1006080;1006118;1007165;1007165;1007165;1007165;1007165;1007165;1007165;1007165;1007165;1007238;1007269;1009679;1009679;1009679;1009679;1009679;1009679;1009679;1009679;1009679;1009679;1009679;1009709;1009716;1009738;1010425;1010729;1010729;1010729;1010729;1010729;1010729;1010729;1010729;1010729;1010729;1010729;1010729;1010785;1011145;1011576;1011846;1011846;1011846;1011846;1011846;1011846;1011846;1011846;1011846;1011846;1011846;1011846;1011846;1011937;1012262;1012396;1012474;1012688;1012688;1012688;1012688;1012688;1012688;1012688;1012688;1012688;1012688;1012688;1012688;1012688;1012688;1013044;1013105;1013105;1013105;1013105;1013105;1013105;1013105;1013105;1013105;1013105;1013105;1013105;1013105;1031598;1031598;1031598;1031598;1039539;1049980;1050050;1050050;1050050;1050050;1050050;1050050;1050050;1050050;1050094;1050537;1050537;1050537;1050537;1050537;1050537;1050537;1050537;1050554;1055283;1056035;1056035;1056035;1056035;1056035;1056035;1056998;1056998;1056998;1056998;1056998;1056998;1056998;1056998;1057844;1057970;1057970;1057970;1057970;1057970;1057970;1057970;1058745;1058745;1058745;1058745;1058745;1058745;1058745;1067077;1067077;1067077;1067077;1067077;1067077;1067117;1067167;1069969;1069969;1069969;1069969;1069969;1069969;1069969;1069969;1070038;1072614;1072614;1072614;1072614;1072614;1072614;1072614;1072614;1072733;1073625;1073625;1073625;1073625;1073625;1073625;1073625;1073625;1073625;1078805;1078814;1079330;1079330;1079330;1079330;1079330;1079330;1079330;1083269;1083520;1083520;1083520;1083520;1083520;1083520;1083520;1083522;1091665;1091665;1091665;1091665;1091665;1091665;1091665;1091669;1091792;1091799;1100637;1100637;1100637;1100637;1100637;1100637;1100637;1100637;1108934;1115276;1125183;1125183;1125183;1125183;1125183;1125183;1125183;1125324;1126340;1153810;1153810;1153813;1154383;1154545;1154744;1154884;1177917;1179667;1179667;1186800;1228144;1228793;1228793;1228793	1006169;1006169;1006169;1005148;1006120;1006169;1006169;1006169;1006169;1006169;1007312;1007312;1007312;1007312;1007312;1007312;1007312;1007312;1007312;1007312;1007312;1009784;1009784;1009784;1009784;1009784;1009784;1009784;1009784;1009784;1010213;1009784;1009784;1009784;1009784;1010796;1010863;1010863;1010863;1010863;1010863;1010863;1010863;1010863;1010863;1010863;1010863;1010863;1010863;1011388;1011661;1011985;1011985;1011920;1011985;1011985;1011985;1011985;1012589;1011985;1011985;1011985;1011985;1011985;1011985;1012557;1012557;1012557;1012797;1012797;1012797;1012797;1012797;1012797;1012797;1012797;1012797;1012797;1012797;1012797;1012797;1012797;1013146;1013164;1013164;1013194;1013164;1013164;1013164;1013164;1013164;1013164;1013164;1013164;1013164;1013164;1031818;1031838;1031818;1031802;1039597;1050181;1050181;1050181;1050181;1050115;1050181;1050181;1050181;1050181;1050143;1050573;1050634;1050634;1050634;1050634;1050568;1050634;1050634;1050634;1056109;1056109;1056109;1056109;1056109;1056109;1056109;1057102;1057102;1057102;1057102;1057102;1057102;1057102;1057102;1058045;1058045;1058045;1058045;1058045;1058045;1058045;1058047;1058867;1058867;1058867;1058750;1058867;1058867;1058867;1067242;1067242;1067242;1067242;1067242;1067242;1067242;1067242;1070090;1069983;1070090;1070090;1070090;1070090;1070090;1070090;1070090;1072754;1072754;1072754;1072754;1072754;1072754;1072754;1072754;1072754;1073677;1073677;1073677;1073677;1073677;1073677;1073677;1073677;1073677;1079122;1079146;1079390;1079390;1079390;1079390;1079390;1079390;1079390;1083627;1083627;1083590;1083627;1083771;1083627;1083627;1083627;1083627;1091850;1091850;1091776;1091850;1091850;1091850;1091850;1091850;1091850;1091850;1100735;1100735;1100735;1100735;1100735;1100735;1100735;1100735;1109100;1115436;1125367;1125367;1125367;1125367;1125367;1125367;1125755;1125367;1126545;1154238;1154238;1154238;1154447;1154619;1154808;1154952;1178059;1179784;1179874;1187322;1228298;1229021;1229004;1229004	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	11709	1538
ENSG00000264429.1	chr17	1022476	1022559	-	84	0
ENSG00000278794.1	chr17	1101007	1101273	-	267	0
ENSG00000275997.1	chr17	1155966	1156175	+	210	0
ENSG00000235361.1	chr17;chr17;chr17	1181893;1182267;1184933	1181928;1182311;1185086	+;+;+	235	0
ENSG00000262213.1	chr17;chr17	1241939;1253914	1242191;1254000	-;-	340	0
ENSG00000205899.3	chr17	1270559	1271460	+	902	0
ENSG00000184811.3	chr17;chr17;chr17	1279663;1295491;1298251	1280388;1295623;1300987	+;+;+	3596	0
ENSG00000108953.16	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	1344272;1344539;1344540;1344855;1345155;1345258;1345328;1347962;1354211;1354211;1354211;1354211;1354211;1361092;1361092;1361092;1361671;1361681;1361902;1361902;1361930;1364748;1364859;1364859;1364859;1364859;1364859;1364859;1364859;1369709;1369709;1398833;1398878;1399044;1399471;1400047;1400047;1400047;1400047;1400047;1400047;1400047;1400047;1400047	1345499;1345499;1345499;1345499;1345499;1345499;1345499;1348008;1354347;1354347;1354347;1354347;1354347;1361298;1361298;1361294;1362008;1362008;1362008;1362008;1362008;1365058;1365058;1365058;1365058;1365058;1365058;1365058;1365058;1369741;1369741;1400206;1399016;1399266;1399589;1400214;1400200;1400135;1400181;1400378;1400151;1400209;1400220;1400206	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3847	11115
ENSG00000280408.1	chr17	1352070	1352255	+	186	0
ENSG00000167193.7	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	1420689;1420689;1422226;1423397;1436620;1436790;1436790;1436998;1455877;1455877;1455877;1462953	1423650;1423650;1423185;1423650;1437155;1437155;1437155;1437155;1456149;1456223;1456258;1463162	-;-;-;-;-;-;-;-;-;-;-;-	4090	4291
ENSG00000262777.1	chr17;chr17;chr17;chr17	1424473;1424776;1426239;1426305	1424917;1424917;1426363;1426484	+;+;+;+	691	0
